City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
350,inhambane,-23.865,35.3833,23.22,83,3,2.43,MZ,1730847005
351,brookings,44.3114,-96.7984,7.25,83,100,3.09,US,1730846884
352,yebaishou,41.3975,119.6408,-1.23,40,1,0.51,CN,1730847008
353,pallasovka,50.05,46.8833,-3.16,84,10,6.82,RU,1730847009
354,luwuk,-0.9516,122.7875,25.4,66,100,1.3,ID,1730847010
355,robertsport,6.7533,-11.3686,27.14,83,7,1.23,LR,1730847011
356,chimoio,-19.1164,33.4833,22.92,100,75,1.62,MZ,1730847012
357,kivioli,59.3531,26.9711,7.7,92,100,4.5,EE,1730847013
358,ivdel',60.6911,60.4206,-11.06,96,40,1.15,RU,1730847014
359,zag,46.9441,99.165,-11.53,86,20,1.4,MN,1730847015
360,aliabad,41.4822,46.6353,8.79,31,20,7.2,AZ,1730847018
